# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=stereotaxic wiring v2 - gerber
# Date=12:32:28
# CreatedBy=Fritzing 1.0.4.2024-10-07.CD-2088-0-a8c6ef7c
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
10kOhm_R15,"10k;;;;;0.25W;;;","THT",7030.93,3041.33,0,Top,THT
RC_output_35,";;;;;;;;","",1330.93,3741.33,0,Top,MANUAL
S.Trig2,";;;;;;;;","DIP (Dual Inline)",2580.93,3941.33,0,Top,THT
Via97,";;;;;;;;","",1830.93,1441.33,0,Top,MANUAL
10kOhm_R36,"10k;;;;;0.25W;;;","THT",1030.93,3641.33,0,Top,THT
1uF_cap_35,";1µF;;50V;;;;;","100 mil [THT, multilayer]",1480.75,3841.33,0,Top,THT
1uF_cap_17,";1µF;;50V;;;;;","100 mil [THT, multilayer]",6580.74,2141.33,0,Top,THT
10kOhm_R2,"10k;;;;;0.25W;;;","THT",7030.93,6241.33,0,Top,THT
Via74,";;;;;;;;","",3330.93,3041.33,0,Top,MANUAL
1uF_cap_44,";1µF;;50V;;;;;","100 mil [THT, multilayer]",1480.93,1241.33,0,Top,THT
RC_output_42,";;;;;;;;","",1330.93,1541.33,0,Top,MANUAL
Via18,";;;;;;;;","",5230.93,4441.33,0,Top,MANUAL
100kOhm_R24,"100k;;;;;0.25W;;;","THT",7630.93,741.329,0,Top,THT
10kOhm_R40,"10k;;;;;0.25W;;;","THT",1030.93,2241.33,0,Top,THT
Button_pos_25,";;;;;;;;","",730.931,6541.33,0,Top,MANUAL
1uF_cap_39,";1µF;;50V;;;;;","100 mil [THT, multilayer]",1480.75,2441.33,0,Top,THT
RC_output_39,";;;;;;;;","",1330.93,2541.33,0,Top,MANUAL
Via50,";;;;;;;;","",6429.55,1241.23,0,Top,MANUAL
RC_output_28,";;;;;;;;","",1330.93,5941.33,0,Top,MANUAL
Button_pos_35,";;;;;;;;","",730.931,3741.33,0,Top,MANUAL
RC_output_37,";;;;;;;;","",1330.93,2941.33,0,Top,MANUAL
10kOhm_R37,"10k;;;;;0.25W;;;","THT",1030.93,2841.33,0,Top,THT
Latch,";;;;;;;;","",3830.93,6741.33,0,Top,MANUAL
1uF_cap_28,";1µF;;50V;;;;;","100 mil [THT, multilayer]",1480.75,5841.33,0,Top,THT
Via51,";;;;;;;;","",5130.93,741.333,0,Top,MANUAL
1uF_cap_42,";1µF;;50V;;;;;","100 mil [THT, multilayer]",1480.75,1641.33,0,Top,THT
Via38,";;;;;;;;","",5330.93,1941.33,0,Top,MANUAL
100kOhm_R45,"100k;;;;;0.25W;;;","THT",430.931,1041.33,0,Top,THT
Via17,";;;;;;;;","",5330.19,4738.37,0,Top,MANUAL
10kOhm_R6,"10k;;;;;0.25W;;;","THT",7030.93,5441.33,0,Top,THT
Button_pos_9,";;;;;;;;","",7330.93,4541.33,0,Top,MANUAL
1uF_cap_12,";1µF;;50V;;;;;","100 mil [THT, multilayer]",6580.74,4041.33,0,Top,THT
Via39,";;;;;;;;","",5330.93,2741.33,0,Top,MANUAL
10kOhm_R33,"10k;;;;;0.25W;;;","THT",1030.93,4241.33,0,Top,THT
Via80,";;;;;;;;","",3230.93,4041.33,0,Top,MANUAL
Via32,";;;;;;;;","",6029.07,2143.19,0,Top,MANUAL
Via6,";;;;;;;;","",6230.93,5741.33,0,Top,MANUAL
100kOhm_R44,"100k;;;;;0.25W;;;","THT",431.12,1241.33,0,Top,THT
SchT_only48,";;;;;;;;","",3030.93,1041.33,0,Top,MANUAL
100kOhm_R34,"100k;;;;;0.25W;;;","THT",430.931,4041.33,0,Top,THT
Button_pos_5,";;;;;;;;","",7330.93,5741.33,0,Top,MANUAL
RC_output_46,";;;;;;;;","",1330.93,741.329,0,Top,MANUAL
Via57,";;;;;;;;","",3330.93,5341.33,0,Top,MANUAL
Button_pos_3,";;;;;;;;","",7330.93,6141.33,0,Top,MANUAL
100kOhm_R36,"100k;;;;;0.25W;;;","THT",430.931,3641.33,0,Top,THT
Button_pos_47,";;;;;;;;","",730.931,541.329,0,Top,MANUAL
S.Trig7,";;;;;;;;","DIP (Dual Inline)",5680.93,2641.33,0,Top,THT
RC_output_27,";;;;;;;;","",1330.93,6141.33,0,Top,MANUAL
